CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022010571,Rear-end,Chester,front bumper,55SWF4KB3HUA00000,MERCEDES-BENZ,C-Class,2017
2022010636,Rear-end,Philadelphia,rear bumper/tail light,1N4AL2AP2CNA00000,NISSAN,Altima,2012
2022010636,Rear-end,Philadelphia,rear bumper/tail light,1N4AL2AP2CNA00000,HONDA,Civic,2012
2022010636,Rear-end,Philadelphia,rear bumper/tail light,1N4AL2AP2CNA00000,NISSAN,Altima,2017
2022010636,Rear-end,Philadelphia,rear bumper,2HGFG3B80CHA00000,NISSAN,Altima,2012
2022010636,Rear-end,Philadelphia,rear bumper,2HGFG3B80CHA00000,HONDA,Civic,2012
2022010636,Rear-end,Philadelphia,rear bumper,2HGFG3B80CHA00000,NISSAN,Altima,2017
2022010636,Rear-end,Philadelphia,rear bumper,1N4AL3AP7HCA00000,NISSAN,Altima,2012
2022010636,Rear-end,Philadelphia,rear bumper,1N4AL3AP7HCA00000,HONDA,Civic,2012
2022010636,Rear-end,Philadelphia,rear bumper,1N4AL3AP7HCA00000,NISSAN,Altima,2017
2022010637,Non-collision,Montgomery,front bumper,2C3CDXJG5KHA00000,DODGE,Charger,2019
2022010733,Rear-end,Montgomery,rear bumper,3N1AB6AP6BLA00000,NISSAN,Sentra,2011
